first_seen_utc,ioc_id,ioc_value,threat_type,malware_printable,tags
2026-05-13 18:45:33,1811926,babybon.cfd,payload_delivery,Unknown Webinject,ErrTraffic
2026-05-13 18:38:10,1811924,virtual-session-broker.wiki,payload_delivery,ClearFake,ClearFake
2026-05-13 17:49:27,1811904,containerorchestrationhub.wiki,payload_delivery,ClearFake,ClearFake
2026-05-13 17:27:16,1811898,l7jn1e9j.unseen-zorenka.digital,payload_delivery,ClearFake,ClearFake
2026-05-13 17:26:45,1811897,ohqvz201.unseen-zorenka.digital,payload_delivery,ClearFake,clearfake
2026-05-13 17:23:19,1811896,zghyyith.unp2idvalk.digital,payload_delivery,ClearFake,ClearFake
2026-05-13 17:21:39,1811895,axr7hs51.$unp2idvalk.digital,payload_delivery,ClearFake,ClearFake
2026-05-13 17:13:54,1811894,decentralizedworkflowengine.wiki,payload_delivery,ClearFake,ClearFake
2026-05-13 17:11:12,1811893,uu888.jp.net,botnet_cc,Quasar RAT,quasar
2026-05-13 16:52:55,1811890,q8gac86p.unseen-zorenka.digital,payload_delivery,ClearFake,clearfake
2026-05-13 16:51:11,1811889,m14rfe59.unseen-zorenka.digital,payload_delivery,ClearFake,ClearFake
2026-05-13 16:48:52,1811888,seducingdelirium.surf,payload_delivery,ClearFake,ClearFake
2026-05-13 16:45:07,1811887,4094s9f8.unseen-zorenka.digital,payload_delivery,ClearFake,ClearFake
2026-05-13 16:43:56,1811886,oy85ola7.unseen-zorenka.digital,payload_delivery,ClearFake,clearfake
2026-05-13 16:35:38,1811885,xs7xp7j0.unseen-zorenka.digital,payload_delivery,ClearFake,ClearFake
2026-05-13 16:35:27,1811884,r9chy91i.unseen-zorenka.digital,payload_delivery,ClearFake,clearfake
2026-05-13 16:21:18,1811880,pt6nyxsf.unseen-zorenka.digital,payload_delivery,ClearFake,clearfake
2026-05-13 16:18:54,1811879,m8n36lcp.unseen-zorenka.digital,payload_delivery,ClearFake,ClearFake
2026-05-13 16:04:45,1811878,vg2tw8iq.unseen-zorenka.digital,payload_delivery,ClearFake,clearfake
2026-05-13 16:04:38,1811877,cp53yk6u.unseen-zorenka.digital,payload_delivery,ClearFake,ClearFake
2026-05-13 16:04:24,1811876,unseen-zorenka.digital,payload_delivery,ClearFake,"13May2026,ClearFake,Commandline,MacOS"
2026-05-13 15:54:46,1811868,observability-stream-hub.wiki,payload_delivery,ClearFake,"13May2026,ClearFake,Commandline,Windows"
2026-05-13 15:31:13,1811862,hypervisorcontrolplanegrid.wiki,payload_delivery,ClearFake,ClearFake
2026-05-13 15:08:02,1811860,federated-runtime-network.wiki,payload_delivery,ClearFake,"13May2026,ClearFake,Commandline,Windows"
2026-05-13 14:44:31,1811820,serverless-mesh-core.wiki,payload_delivery,ClearFake,"13May2026,ClearFake,Commandline,Windows"
2026-05-13 14:20:40,1811819,packetrelay.wiki,payload_delivery,ClearFake,ClearFake
2026-05-13 13:57:43,1811817,4bklvfdi.estradaannivers.digital,payload_delivery,ClearFake,clearfake
2026-05-13 13:57:11,1811816,6j5c410c.estradaannivers.digital,payload_delivery,ClearFake,ClearFake
2026-05-13 13:55:26,1811815,mwzr516t.unp2idvalk.digital,payload_delivery,ClearFake,ClearFake
2026-05-13 13:52:23,1811814,9nl6t4w2.estradaannivers.digital,payload_delivery,ClearFake,clearfake
2026-05-13 13:51:47,1811813,9a06tby4.estradaannivers.digital,payload_delivery,ClearFake,ClearFake
2026-05-13 13:42:13,1811804,microservice-balancer-node.wiki,payload_delivery,ClearFake,ClearFake
2026-05-13 13:18:37,1811803,asyncpipelinehub.wiki,payload_delivery,ClearFake,ClearFake
2026-05-13 12:54:56,1811797,virtual-packet-gateway.wiki,payload_delivery,ClearFake,ClearFake
2026-05-13 11:40:58,1811785,bula-silomercitationlaptop.wiki,payload_delivery,ClearFake,ClearFake
2026-05-13 11:28:59,1811784,utl1juep.estradaannivers.digital,payload_delivery,ClearFake,clearfake
2026-05-13 11:23:51,1811783,l6lv36qw.estradaannivers.digital,payload_delivery,ClearFake,ClearFake
2026-05-13 11:17:17,1811782,tertsiyavocalsunseenfile.wiki,payload_delivery,ClearFake,ClearFake
2026-05-13 10:53:40,1811776,obese-uzousweb-play.wiki,payload_delivery,ClearFake,ClearFake
2026-05-13 10:30:06,1811774,lyapissvebechkopassword.wiki,payload_delivery,ClearFake,ClearFake
2026-05-13 10:06:25,1811773,handout-voivodeshiplink.wiki,payload_delivery,ClearFake,ClearFake
2026-05-13 09:45:20,1811765,5zcnyldj.unp2idvalk.digital,payload_delivery,ClearFake,ClearFake
2026-05-13 09:42:44,1811758,accoun-table-unleash-soft.wiki,payload_delivery,ClearFake,ClearFake
2026-05-13 09:41:43,1811757,sub-substituteunfeignedflash.wiki,payload_delivery,ClearFake,ClearFake
2026-05-13 08:40:42,1811749,au88-mobile.com,botnet_cc,Nanocore RAT,nanocore
2026-05-13 07:41:55,1811745,cherish-cultscreencard.wiki,payload_delivery,ClearFake,ClearFake
2026-05-13 07:17:02,1811744,eaglefungustourismscreen.wiki,payload_delivery,ClearFake,"13May2026,ClearFake,Commandline,Windows"
2026-05-13 07:05:19,1811743,cafe-club-oracle-card.wiki,payload_delivery,ClearFake,ClearFake
2026-05-13 07:00:13,1811736,pts.loniluekegerman.com,botnet_cc,Vidar,vidar
2026-05-13 07:00:12,1811734,pts.chriskendall.media,botnet_cc,Vidar,vidar
2026-05-13 06:38:19,1811732,containerfabric.wiki,payload_delivery,ClearFake,ClearFake
2026-05-13 06:33:16,1811723,gdedengikarlos.cfd,payload_delivery,Unknown malware,ClickFix
2026-05-13 06:10:46,1811720,screenshot.777x.you,botnet_cc,Quasar RAT,quasar
2026-05-13 06:10:46,1811721,task.777x.you,botnet_cc,Quasar RAT,quasar
2026-05-13 05:21:23,1811714,prime-object-container-task-archive.wiki,payload_delivery,ClearFake,"13May2026,ClearFake,Commandline,Windows"
2026-05-13 04:56:07,1811709,secure-remote-access-method-file.wiki,payload_delivery,ClearFake,ClearFake
2026-05-13 04:30:14,1811708,virtual-compute-engine-template-doc.wiki,payload_delivery,ClearFake,ClearFake
2026-05-13 04:04:29,1811707,backup-terminal-gateway-handle-list.wiki,payload_delivery,ClearFake,ClearFake
2026-05-13 03:38:46,1811704,active-instance-registry-support-index.wiki,payload_delivery,ClearFake,"13May2026,ClearFake,Commandline,Windows"
2026-05-13 03:13:19,1811702,distributed-source-element-package-site.wiki,payload_delivery,ClearFake,"13May2026,ClearFake,Commandline,Windows"
2026-05-13 02:47:32,1811697,enterprise-solution-buffer-utility-log.wiki,payload_delivery,ClearFake,ClearFake
2026-05-13 02:22:08,1811696,root-directory-repository-process-vault.wiki,payload_delivery,ClearFake,ClearFake
2026-05-13 01:56:07,1811687,cluster-module-deployment-standard-map.wiki,payload_delivery,ClearFake,"13May2026,ClearFake,Commandline,Windows"
2026-05-13 01:31:03,1811685,pro-architecture-engineering-vault-info.wiki,payload_delivery,ClearFake,ClearFake
2026-05-13 01:05:21,1811678,contactdisrupwhite.wiki,payload_delivery,ClearFake,"13May2026,ClearFake,Commandline,Windows"
2026-05-13 00:39:00,1811668,quart-rantman.wiki,payload_delivery,ClearFake,"13May2026,ClearFake,Commandline,Windows"
2026-05-13 00:13:42,1811667,snooze-wontdrama.wiki,payload_delivery,ClearFake,"13May2026,ClearFake,Commandline,Windows"
2026-05-12 23:57:42,1811660,miststarvationsify.wiki,payload_delivery,ClearFake,ClearFake
2026-05-12 23:16:09,1811658,long-pescar.wiki,payload_delivery,ClearFake,ClearFake
2026-05-12 22:55:02,1811652,glarsitttrain.wiki,payload_delivery,ClearFake,ClearFake
2026-05-12 22:34:46,1811648,angelpatter.wiki,payload_delivery,ClearFake,ClearFake
2026-05-12 22:30:26,1811647,dnmjbsbqsb.com,botnet_cc,ValleyRAT,valleyrat_s2
2026-05-12 22:13:39,1811644,girlytrans-fusion.wiki,payload_delivery,ClearFake,ClearFake
2026-05-12 21:53:19,1811630,passoverphysiqclass.wiki,payload_delivery,ClearFake,ClearFake
2026-05-12 21:32:38,1811629,ordersub-versive.wiki,payload_delivery,ClearFake,ClearFake
2026-05-12 21:30:13,1811623,bos.loniluekegerman.com,botnet_cc,Vidar,vidar
2026-05-12 21:30:12,1811621,bos.chriskendall.media,botnet_cc,Vidar,vidar
2026-05-12 21:11:51,1811620,passwordweb.wiki,payload_delivery,ClearFake,ClearFake
2026-05-12 20:52:11,1811613,laptoplink.wiki,payload_delivery,ClearFake,ClearFake
2026-05-12 20:45:26,1811595,1ss.giize.com,botnet_cc,Quasar RAT,quasar
2026-05-12 20:35:41,1811594,unitmemory.wiki,payload_delivery,ClearFake,ClearFake
2026-05-12 20:12:02,1811588,softwarefile.wiki,payload_delivery,ClearFake,ClearFake
2026-05-12 20:09:12,1811587,supplyflash.wiki,payload_delivery,ClearFake,ClearFake
2026-05-12 20:07:22,1811583,screencard.wiki,payload_delivery,ClearFake,ClearFake
2026-05-12 19:24:58,1811551,devmatrix.wiki,payload_delivery,ClearFake,ClearFake
2026-05-12 19:19:56,1811550,qaff1aeg.chronicle5-diachiha.digital,payload_delivery,ClearFake,clearfake
2026-05-12 19:18:55,1811549,9nogvuq1.chronicle5-diachiha.digital,payload_delivery,ClearFake,ClearFake
2026-05-12 19:02:39,1811548,cryptogrid.wiki,payload_delivery,ClearFake,ClearFake
2026-05-12 18:41:44,1811540,byteforge.surf,payload_delivery,ClearFake,ClearFake
2026-05-12 18:21:15,1811532,scriptmesh.surf,payload_delivery,ClearFake,ClearFake
2026-05-12 17:06:07,1811515,codeframe.wiki,payload_delivery,ClearFake,ClearFake
2026-05-12 16:45:58,1811504,stackforge.wiki,payload_delivery,ClearFake,ClearFake
2026-05-12 16:30:13,1811497,prt.loniluekegerman.com,botnet_cc,Vidar,vidar
2026-05-12 16:30:12,1811495,prt.chriskendall.media,botnet_cc,Vidar,vidar
2026-05-12 15:12:03,1811473,www.apartuk.info,botnet_cc,Formbook,"ViriBack,XLoader"
2026-05-12 15:12:02,1811472,www.axilo.top,botnet_cc,Formbook,"ViriBack,XLoader"
2026-05-12 15:06:32,1811466,caribb.ru,botnet_cc,Unknown malware,crpx0
2026-05-12 15:06:32,1811467,mekhovaya-shuba.ru,botnet_cc,Unknown malware,crpx0
2026-05-12 15:06:30,1811468,beboss34.ru,botnet_cc,Unknown malware,crpx0
2026-05-12 15:06:12,1811471,7lqe804i.greyhounds1uidor.digital,payload_delivery,ClearFake,ClearFake
2026-05-12 15:05:42,1811469,elbowfrisk.digital,payload_delivery,ClearFake,"12May2026,ClearFake,Commandline,MacOS"
2026-05-12 14:59:44,1810665,lekeitioikt.eus,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:59:43,1810664,leafypage.com,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:59:41,1810666,lengochuan.com,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:59:35,1810667,lindabrasil.store,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:59:34,1810668,linqr.info,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:59:33,1810669,lionsclubs-ghana.org,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:59:32,1810670,lisanslandiniz.com,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:59:31,1810671,littleshutterhomes.com,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:59:30,1810672,livewelltoday.site,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:59:30,1810673,lmrentacar.com,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:59:28,1810674,lnded.net,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:59:27,1810675,lumyq.com,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:59:26,1810676,luxehavenretrat.com,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:59:26,1810677,maddog-supply.com,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:59:25,1810678,maidog.fr,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:59:24,1810679,majestichomecare.nl,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:59:23,1810680,manuelaguerra.com,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:59:20,1810681,marmodelkaiser.com,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:59:19,1810682,masakaschools.sc.tz,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:59:18,1810683,massagebienetre-badia.fr,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:59:17,1810684,matthewsbuildingadvisors.co.uk,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:59:16,1810685,mdthomasconstructions.com,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:59:16,1810686,meccabot.id,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:59:15,1810687,mechanicalseals.co.za,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:59:14,1810688,medinova.ng,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:59:13,1810689,medoratechlabs.com,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:59:13,1810690,medraa.com,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:59:12,1810691,mesonandaluz.es,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:59:10,1810692,mgo.vn,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:59:09,1810693,michellebarton.love,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:59:08,1810694,miohome.com.tw,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:59:08,1810695,miraducksolutions.com,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:59:06,1810696,missflocage.fr,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:59:05,1810697,mlbodesign.com,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:59:04,1810698,mnasalonsuites.com,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:59:03,1810699,mosw.gov.sl,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:59:02,1810700,motomorini.mg,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:59:01,1810701,msg3d.com.br,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:59:00,1810702,muqtasid.com,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:58:59,1810703,mwcmetals.com,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:58:58,1810704,myachtconsulting.com,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:58:57,1810705,myhouseinspain.com,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:58:57,1810706,mykonos-explorer.com,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:58:56,1810707,mymedicarebasics.com,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:58:55,1810708,mysaraoutfit.com,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:58:53,1810709,nateberger.com,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:58:52,1810710,nelsonmrodriguez.com,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:58:51,1810711,netcooilfield.com,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:58:50,1810712,networthadjusters.com,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
2026-05-12 14:58:50,1810713,neuronoetics.org,payload_delivery,Vidar,"ClickFix,compromised,etherhiding,Polygon,Vidar,WordPress"
